Country,CountryCode,Lat,Long,Count,Density,Population (2020),DensityGroup
Estonia,E06,58.595272,25.013607,1993,31,1326357,<=100
Venezuela,V01,6.42375,-66.58973,6750,32,28451828,<=100
Laos,L01,19.85627,102.495496,19,32,7253719,<=100
Kyrgyzstan,K05,41.20438,74.766098,7094,34,6501804,<=100
Eritrea,E05,15.179384,39.782334,215,35,3536285,<=100
US,U06,37.0902,-95.7129,2839436,36,330610570,<=100
Zimbabwe,Z02,-19.015438,29.154857,698,38,14818157,<=100
Bahamas,B01,25.03428,-77.39628,104,39,392477,<=100
Mozambique,M15,-18.665695,35.529562,969,40,31067362,<=100
Djibouti,D02,11.825138,42.590275,4736,43,985027,<=100
Lithuania,L08,55.169438,23.881275,1831,43,2729553,<=100
Colombia,C09,4.570868,-74.297333,109793,46,50771878,<=100
Belarus,B05,53.709807,27.953389,63270,47,9449940,<=100
Montenegro,M13,42.708678,19.37439,720,47,628050,<=100
Madagascar,M01,-18.766947,46.869107,2728,48,27539106,<=100
Fiji,F01,-16.578193,179.414413,18,49,895128,<=100
South Africa,S15,-30.559482,22.937506,187977,49,59154802,<=100
Equatorial Guinea,E04,1.650801,10.267895,3071,50,1392950,<=100
Iran,I04,32.427908,53.688046,237878,52,83771587,<=100
Guinea,G09,9.945587,-9.696645,5570,53,13056478,<=100
Liberia,L05,6.428055,-9.429499,869,53,5032469,<=100
Nicaragua,N05,12.865416,-85.207229,2519,55,6608366,<=100
Cameroon,C03,7.369722,12.354722,12592,56,26405174,<=100
Yemen,Y01,15.552727,48.516388,1248,56,29687214,<=100
Georgia,G03,42.315407,43.356892,948,57,3990681,<=100
Panama,P02,8.537981,-80.782127,36983,58,4300667,<=100
Afghanistan,A01,33.93911,67.709953,32672,60,38742911,<=100
Bosnia and Herzegovina,B11,43.915886,17.679076,4962,64,3284806,<=100
Bulgaria,B15,42.733883,25.48583,5677,64,6958627,<=100
Mexico,M09,23.634501,-102.552784,252165,66,128655589,<=100
Eswatini,E07,-26.5225,31.4659,954,67,1157707,<=100
Tanzania,T03,-6.369028,34.888822,509,67,59368313,<=100
Tajikistan,T02,38.861034,71.276093,6159,68,9492342,<=100
Guinea-Bissau,G10,11.803749,-15.180413,1765,70,1958132,<=100
Ecuador,E01,-1.831239,-78.183406,61535,71,17587526,<=100
Lesotho,L04,-29.609988,28.233608,35,71,2138799,<=100
Ireland,I06,53.41291,-8.24389,25509,72,4926480,<=100
Croatia,C14,45.1,15.2,3094,73,4110214,<=100
Ukraine,U02,48.379433,31.16558,48628,75,43785122,<=100
Burkina Faso,B16,12.238333,-1.561593,987,76,20780371,<=100
Tunisia,T08,33.886917,9.537499,1186,76,11793319,<=100
Uzbekistan,U07,41.377491,64.585262,9708,79,33368859,<=100
Greece,G06,39.074208,21.824312,3511,81,10433037,<=100
Brunei,B14,4.535277,114.727669,141,83,436624,<=100
Cote d'Ivoire,C13,7.54,-5.5471,10462,83,26239250,<=100
Morocco,M14,31.791702,-7.09262,13822,83,36820713,<=100
North Macedonia,N08,41.6086,21.7453,6932,83,2083391,<=100
Romania,R01,45.943161,24.96676,28582,84,19262731,<=100
Senegal,S07,14.497401,-14.452362,7272,87,16649599,<=100
Honduras,H03,15.199999,-86.241905,22921,89,9871892,<=100
Timor-Leste,T05,-8.874217,125.727539,24,89,1313184,<=100
Iraq,I05,33.223191,43.679291,58354,93,40031626,<=100
Kenya,K02,-0.023559,37.906193,7577,94,53521116,<=100
Spain,S18,40.463667,-3.74922,250545,94,46751175,<=100
Cambodia,C02,12.565679,104.990963,141,95,16671185,<=100
Syria,S24,34.802075,38.996815,338,95,17410293,<=100
Dominica,D03,15.414999,-61.370976,18,96,71950,<=100
Malaysia,M03,4.210484,101.975766,8658,99,32280610,<=100
Costa Rica,C12,9.748917,-83.753428,4621,100,5084636,<=100
Serbia,S08,44.016521,21.005859,15829,100,8744288,<=100
Egypt,E02,26.820553,30.802498,74035,103,101930276,>100<=500
Slovenia,S13,46.151241,14.995463,1679,103,2078881,>100<=500
Armenia,A08,40.069099,45.038189,27900,104,2962137,>100<=500
Albania,A02,41.153332,20.168331,2819,105,2878420,>100<=500
Cuba,C15,21.521757,-77.781167,2369,106,11327988,>100<=500
Hungary,H04,47.162494,19.503304,4174,107,9665192,>100<=500
Benin,B08,9.30769,2.315834,1199,108,12055347,>100<=500
Austria,A10,47.516231,14.550072,18165,109,8996022,>100<=500
Turkey,T09,38.963745,35.243322,204610,110,84153250,>100<=500
Portugal,P08,39.399872,-8.224454,43569,111,10202571,>100<=500
Sierra Leone,S10,8.460555,-11.779889,1533,111,7942879,>100<=500
Slovakia,S12,48.669026,19.699024,1749,114,5459116,>100<=500
Ethiopia,E08,9.145,40.489673,5846,115,114357494,>100<=500
Jordan,J03,30.585164,36.238414,1150,115,10182442,>100<=500
United Arab Emirates,U03,23.424076,53.847818,50857,118,9865845,>100<=500
France,F03,46.227638,2.213749,204222,119,65244628,>100<=500
Azerbaijan,A11,40.143105,47.576927,19801,123,10120555,>100<=500
Moldova,M10,47.411631,28.369885,17672,123,4035814,>100<=500
Poland,P07,51.919438,19.145136,35719,124,37854825,>100<=500
Cyprus,C16,35.126413,33.429859,1002,131,1205577,>100<=500
Denmark,D01,56.26392,9.501785,13032,137,5788108,>100<=500
Ghana,G05,7.946527,-1.023194,19388,137,30936375,>100<=500
Thailand,T04,15.870032,100.992541,3185,137,69764925,>100<=500
Cabo Verde,C01,16.5388,-23.0418,1421,138,554750,>100<=500
Czechia,C17,49.8175,15.473,12440,139,10705012,>100<=500
Indonesia,I03,-0.789275,113.921327,62142,151,272931713,>100<=500
Togo,T06,8.619543,0.824782,676,152,8237580,>100<=500
China,C08,35.86166,104.195397,84857,153,1438207241,>100<=500
Kosovo,K03,42.602636,20.902977,3064,159,1845000,>100<=500
Andorra,A04,42.546245,1.601554,855,164,77240,>100<=500
Guatemala,G08,15.783471,-90.230759,22501,167,17846248,>100<=500
Nepal,N02,28.394857,84.124008,15491,203,29027347,>100<=500
Malawi,M02,-13.254308,34.301525,1613,203,19024426,>100<=500
Saint Kitts and Nevis,S01,17.357822,-62.782998,16,205,53123,>100<=500
Italy,I08,41.87194,12.56738,241419,206,60479424,>100<=500
Seychelles,S09,-4.679574,55.491977,81,214,98224,>100<=500
Switzerland,S23,46.818188,8.227512,32198,219,8641786,>100<=500
Antigua and Barbuda,A06,17.060816,-61.796428,68,223,97764,>100<=500
Dominican Republic,D04,18.735693,-70.162651,36184,225,10825682,>100<=500
Nigeria,N07,9.081999,8.675277,28167,226,205052107,>100<=500
Sao Tome and Principe,S05,0.18636,6.613081,719,228,218308,>100<=500
Uganda,U01,1.373333,32.290275,927,229,45427637,>100<=500
Liechtenstein,L07,47.166,9.555373,83,238,38106,>100<=500
Gambia,G02,13.443182,-15.310139,57,239,2402083,>100<=500
Germany,G04,51.165691,10.451526,197198,240,83730223,>100<=500
Kuwait,K04,29.31166,47.481766,49303,240,4257495,>100<=500
Luxembourg,L09,49.815273,6.129583,4476,242,623861,>100<=500
Qatar,Q01,25.354826,51.183884,99183,248,2870922,>100<=500
Jamaica,J01,18.109581,-77.297508,728,273,2958567,>100<=500
Trinidad and Tobago,T07,10.691803,-61.222503,130,273,1398579,>100<=500
United Kingdom,U04,55.378051,-3.435973,286412,281,67814098,>100<=500
Saint Vincent and the Grenadines,S03,12.984305,-61.287228,29,284,110869,>100<=500
Pakistan,P01,30.375321,69.345116,225283,287,219992900,>100<=500
Saint Lucia,S02,13.909444,-60.978893,22,301,183458,>100<=500
El Salvador,E03,13.794185,-88.89653,7507,313,6479609,>100<=500
Vietnam,V02,14.058324,108.277199,355,314,97160127,>100<=500
Grenada,G07,12.262776,-61.604171,23,331,112418,>100<=500
Sri Lanka,S19,7.873054,80.771797,2074,341,21395196,>100<=500
Japan,J02,36.204824,138.252924,19461,347,126552765,>100<=500
Philippines,P06,12.879721,121.774017,41830,368,109280343,>100<=500
Belgium,B06,50.503887,4.469936,61838,383,11579477,>100<=500
Israel,I07,31.046051,34.851612,29170,400,8627444,>100<=500
Haiti,H01,18.971187,-72.285215,6294,414,11373955,>100<=500
Burundi,B17,-3.373056,29.918886,191,463,11814346,>100<=500
India,I02,20.593684,78.96288,673165,464,1377233523,>100<=500
Comoros,C10,-11.875001,43.872219,309,467,865696,>100<=500
Netherlands,N03,52.132633,5.291266,50548,508,17127290,>500<=1000
Rwanda,R03,-1.940278,29.873888,1092,525,12883878,>500<=1000
South Korea,S16,35.907757,127.766922,13091,527,51260395,>500<=1000
San Marino,S04,43.94236,12.457777,698,566,33917,>500<=1000
Mauritius,M08,-20.348404,57.552152,341,626,1271347,>500<=1000
Lebanon,L03,33.854721,35.862285,1855,667,6831445,>500<=1000
Barbados,B04,13.193887,-59.543198,97,668,287305,>500<=1000
Taiwan,T01,23.69781,120.960515,449,673,23808164,>500<=1000
Bangladesh,B03,23.684994,90.356331,159679,1265,164354176,>1000<=7000
Malta,M06,35.937496,14.375416,672,1380,441308,>1000<=7000
Maldives,M04,3.202778,73.22068,2435,1802,538558,>1000<=7000
Holy See,H02,41.9029,12.4534,12,2003,801,>1000<=7000
Bahrain,B02,25.930414,50.637772,28857,2239,1688629,>1000<=7000
Singapore,S11,1.352083,103.819836,44664,8358,5840996,>7000
Monaco,M11,43.750298,7.412841,106,26337,39186,>7000
