Country,CountryCode,Lat,Long,Density,Population,Date,Count,DensityGroup
Afghanistan,A01,33,65,60,38742911,2020-04-26,1531,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-27,1703,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-28,1828,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-29,1939,<=100
Afghanistan,A01,33,65,60,38742911,2020-04-30,2171,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-01,2335,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-02,2469,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-03,2704,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-04,2894,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-05,3224,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-06,3392,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-07,3563,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-08,3778,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-09,4033,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-10,4402,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-11,4687,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-12,4963,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-13,5226,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-14,5639,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-15,6053,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-16,6402,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-17,6664,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-18,7072,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-19,7653,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-20,8145,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-21,8676,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-22,9216,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-23,9998,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-24,10582,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-25,11173,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-26,11831,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-27,12456,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-28,13036,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-29,13659,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-30,14525,<=100
Afghanistan,A01,33,65,60,38742911,2020-05-31,15205,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-01,15750,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-02,16509,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-03,17267,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-04,18054,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-05,18969,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-06,19551,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-07,20342,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-08,20917,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-09,21459,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-10,22142,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-11,22890,<=100
Afghanistan,A01,33,65,60,38742911,2020-06-12,23546,<=100
