Country,CountryCode,Lat,Long,Density,Population,Date,Count
Liechtenstein,L07,47.14,9.55,238,38106,22/01/2020,0
Lithuania,L08,55.1694,23.8813,43,2729553,22/01/2020,0
Luxembourg,L09,49.8153,6.1296,242,623861,22/01/2020,0
Madagascar,M01,-18.7669,46.8691,48,27539106,22/01/2020,0
Malawi,M02,-13.254308,34.301525,203,19024426,22/01/2020,0
Malaysia,M03,2.5,112.5,99,32280610,22/01/2020,0
Maldives,M04,3.2028,73.2207,1802,538558,22/01/2020,0
Mali,M05,17.570692,-3.996166,17,20125282,22/01/2020,0
Malta,M06,35.9375,14.3754,1380,441308,22/01/2020,0
Mauritania,M07,21.0079,10.9408,5,4623535,22/01/2020,0
Mauritius,M08,-20.2,57.5,626,1271347,22/01/2020,0
Mexico,M09,23.6345,-102.5528,66,128655589,22/01/2020,0
Moldova,M10,47.4116,28.3699,123,4035814,22/01/2020,0
Monaco,M11,43.7333,7.4167,26337,39186,22/01/2020,0
Mongolia,M12,46.8625,103.8467,2,3267320,22/01/2020,0
Montenegro,M13,42.5,19.3,47,628050,22/01/2020,0
Morocco,M14,31.7917,-7.0926,83,36820713,22/01/2020,0
Mozambique,M15,-18.665695,35.529562,40,31067362,22/01/2020,0
Namibia,N01,-22.9576,18.4904,3,2531290,22/01/2020,0
Nepal,N02,28.1667,84.25,203,29027347,22/01/2020,0
Netherlands,N03,12.5186,-70.0358,508,17127290,22/01/2020,0
New Zealand,N04,-40.9006,174.886,18,4814272,22/01/2020,0
Nicaragua,N05,12.8654,-85.2072,55,6608366,22/01/2020,0
Niger,N06,17.6078,8.0817,19,24014064,22/01/2020,0
Nigeria,N07,9.082,8.6753,226,205052107,22/01/2020,0
North Macedonia,N08,41.6086,21.7453,83,2083391,22/01/2020,0
Norway,N09,60.472,8.4689,15,5412632,22/01/2020,0
Oman,O01,21,57,16,5078933,22/01/2020,0
Pakistan,P01,30.3753,69.3451,287,219992900,22/01/2020,0
Panama,P02,8.538,-80.7821,58,4300667,22/01/2020,0
Papua New Guinea,P03,-6.315,143.9555,20,8911530,22/01/2020,0
Paraguay,P04,-23.4425,-58.4438,18,7114524,22/01/2020,0
Peru,P05,-9.19,-75.0152,26,32876986,22/01/2020,0
Philippines,P06,13,122,368,109280343,22/01/2020,0
Poland,P07,51.9194,19.1451,124,37854825,22/01/2020,0
Portugal,P08,39.3999,-8.2245,111,10202571,22/01/2020,0
Qatar,Q01,25.3548,51.1839,248,2870922,22/01/2020,0
Romania,R01,45.9432,24.9668,84,19262731,22/01/2020,0
Russia,R02,60,90,9,145922010,22/01/2020,0
Rwanda,R03,-1.9403,29.8739,525,12883878,22/01/2020,0
Saint Kitts and Nevis,S01,17.357822,-62.782998,205,53123,22/01/2020,0
Saint Lucia,S02,13.9094,-60.9789,301,183458,22/01/2020,0
Saint Vincent and the Grenadines,S03,12.9843,-61.2872,284,110869,22/01/2020,0
San Marino,S04,43.9424,12.4578,566,33917,22/01/2020,0
Sao Tome and Principe,S05,0.18636,6.613081,228,218308,22/01/2020,0
Saudi Arabia,S06,24,45,16,34701377,22/01/2020,0
Senegal,S07,14.4974,-14.4524,87,16649599,22/01/2020,0
Serbia,S08,44.0165,21.0059,100,8744288,22/01/2020,0
Seychelles,S09,-4.6796,55.492,214,98224,22/01/2020,0
Sierra Leone,S10,8.460555,-11.779889,111,7942879,22/01/2020,0
Singapore,S11,1.2833,103.8333,8358,5840996,22/01/2020,0
Slovakia,S12,48.669,19.699,114,5459116,22/01/2020,0
Slovenia,S13,46.1512,14.9955,103,2078881,22/01/2020,0
Somalia,S14,5.1521,46.1996,25,15798020,22/01/2020,0
South Africa,S15,-30.5595,22.9375,49,59154802,22/01/2020,0
South Sudan,S17,6.877,31.307,18,11166783,22/01/2020,0
Spain,S18,40,-4,94,46751175,22/01/2020,0
Sri Lanka,S19,7,81,341,21395196,22/01/2020,0
Sudan,S20,12.8628,30.2176,25,43632213,22/01/2020,0
Suriname,S21,3.9193,-56.0278,4,585561,22/01/2020,0
Sweden,S22,63,16,25,10086531,22/01/2020,0
Switzerland,S23,46.8182,8.2275,219,8641786,22/01/2020,0
Syria,S24,34.802075,38.996815,95,17410293,22/01/2020,0
Taiwan,T01,23.7,121,673,23808164,22/01/2020,1
Tajikistan,T02,38.861034,71.276093,68,9492342,22/01/2020,0
Tanzania,T03,-6.369,34.8888,67,59368313,22/01/2020,0
Thailand,T04,15,101,137,69764925,22/01/2020,2
Timor-Leste,T05,-8.874217,125.727539,89,1313184,22/01/2020,0
Togo,T06,8.6195,0.8248,152,8237580,22/01/2020,0
Trinidad and Tobago,T07,10.6918,-61.2225,273,1398579,22/01/2020,0
Tunisia,T08,34,9,76,11793319,22/01/2020,0
Turkey,T09,38.9637,35.2433,110,84153250,22/01/2020,0
Uganda,U01,1,32,229,45427637,22/01/2020,0
Ukraine,U02,48.3794,31.1656,75,43785122,22/01/2020,0
United Arab Emirates,U03,24,54,118,9865845,22/01/2020,0
United Kingdom,U04,32.3078,-64.7505,281,67814098,22/01/2020,0
Uruguay,U05,-32.5228,-55.7658,20,3471314,22/01/2020,0
US,U06,37.0902,-95.7129,36,330610570,22/01/2020,1
Uzbekistan,U07,41.3775,64.5853,79,33368859,22/01/2020,0
Venezuela,V01,6.4238,-66.5897,32,28451828,22/01/2020,0
Vietnam,V02,16,108,314,97160127,22/01/2020,0
Western Sahara,W01,24.2155,-12.8858,2,594215,22/01/2020,0
Yemen,Y01,15.552727,48.516388,56,29687214,22/01/2020,0
Zambia,Z01,-15.4167,28.2833,25,18273379,22/01/2020,0
Zimbabwe,Z02,-20,30,38,14818157,22/01/2020,0
South Korea,S16,36,128,527,51260395,22/01/2020,1
Grand,,,,,,22/01/2020,555
Afghanistan,A01,33,65,60,38742911,23/01/2020,0
Albania,A02,41.1533,20.1683,105,2878420,23/01/2020,0
Algeria,A03,28.0339,1.6596,18,43685618,23/01/2020,0
Andorra,A04,42.5063,1.5218,164,77240,23/01/2020,0
Angola,A05,-11.2027,17.8739,26,32644783,23/01/2020,0
Antigua and Barbuda,A06,17.0608,-61.7964,223,97764,23/01/2020,0
Argentina,A07,-38.4161,-63.6167,17,45111229,23/01/2020,0
Armenia,A08,40.0691,45.0382,104,2962137,23/01/2020,0
Australia,A09,-35.4735,149.0124,3,25439164,23/01/2020,0
Austria,A10,47.5162,14.5501,109,8996022,23/01/2020,0
Azerbaijan,A11,40.1431,47.5769,123,10120555,23/01/2020,0
Bahamas,B01,25.0343,-77.3963,39,392477,23/01/2020,0
Bahrain,B02,26.0275,50.55,2239,1688629,23/01/2020,0
Bangladesh,B03,23.685,90.3563,1265,164354176,23/01/2020,0
Barbados,B04,13.1939,-59.5432,668,287305,23/01/2020,0
Belarus,B05,53.7098,27.9534,47,9449940,23/01/2020,0
Belgium,B06,50.8333,4,383,11579477,23/01/2020,0
Belize,B07,13.1939,-59.5432,17,396120,23/01/2020,0
Benin,B08,9.3077,2.3158,108,12055347,23/01/2020,0
Bhutan,B09,27.5142,90.4336,20,769867,23/01/2020,0
Bolivia,B10,-16.2902,-63.5887,11,11640159,23/01/2020,0
Bosnia and Herzegovina,B11,43.9159,17.6791,64,3284806,23/01/2020,0
Botswana,B12,-22.3285,24.6849,4,2341649,23/01/2020,0
Brazil,B13,-14.235,-51.9253,25,212253150,23/01/2020,0
Brunei,B14,4.5353,114.7277,83,436624,23/01/2020,0
Bulgaria,B15,42.7339,25.4858,64,6958627,23/01/2020,0
Burkina Faso,B16,12.2383,-1.5616,76,20780371,23/01/2020,0
Burundi,B17,-3.3731,29.9189,463,11814346,23/01/2020,0
Cabo Verde,C01,16.5388,-23.0418,138,554750,23/01/2020,0
Cambodia,C02,11.55,104.9167,95,16671185,23/01/2020,0
Cameroon,C03,3.848,11.5021,56,26405174,23/01/2020,0
Canada,C04,53.9333,-116.5765,4,37674770,23/01/2020,0
Central African Republic,C05,6.6111,20.9394,8,4812256,23/01/2020,0
Chad,C06,15.4542,18.7322,13,16324440,23/01/2020,0
Chile,C07,-35.6751,-71.543,26,19082804,23/01/2020,0
China,C08,31.8257,117.2264,153,1438207241,23/01/2020,643
Colombia,C09,4.5709,-74.2973,46,50771878,23/01/2020,0
Comoros,C10,-11.6455,43.3333,467,865696,23/01/2020,0
Costa Rica,C12,9.7489,-83.7534,100,5084636,23/01/2020,0
Cote d'Ivoire,C13,7.54,-5.5471,83,26239250,23/01/2020,0
Croatia,C14,45.1,15.2,73,4110214,23/01/2020,0
Cuba,C15,22,-80,106,11327988,23/01/2020,0
Cyprus,C16,35.1264,33.4299,131,1205577,23/01/2020,0
Czechia,C17,49.8175,15.473,139,10705012,23/01/2020,0
Denmark,D01,61.8926,-6.9118,137,5788108,23/01/2020,0
Djibouti,D02,11.8251,42.5903,43,985027,23/01/2020,0
Dominica,D03,15.415,-61.371,96,71950,23/01/2020,0
Dominican Republic,D04,18.7357,-70.1627,225,10825682,23/01/2020,0
Ecuador,E01,-1.8312,-78.1834,71,17587526,23/01/2020,0
Egypt,E02,26,30,103,101930276,23/01/2020,0
El Salvador,E03,13.7942,-88.8965,313,6479609,23/01/2020,0
Equatorial Guinea,E04,1.5,10,50,1392950,23/01/2020,0
Eritrea,E05,15.1794,39.7823,35,3536285,23/01/2020,0
Estonia,E06,58.5953,25.0136,31,1326357,23/01/2020,0
Eswatini,E07,-26.5225,31.4659,67,1157707,23/01/2020,0
Ethiopia,E08,9.145,40.4897,115,114357494,23/01/2020,0
Fiji,F01,-17.7134,178.065,49,895128,23/01/2020,0
Finland,F02,64,26,18,5539002,23/01/2020,0
France,F03,3.9339,-53.1258,119,65244628,23/01/2020,0
Gabon,G01,-0.8037,11.6094,9,2214593,23/01/2020,0
Gambia,G02,13.4432,-15.3101,239,2402083,23/01/2020,0
Georgia,G03,42.3154,43.3569,57,3990681,23/01/2020,0
Germany,G04,51,9,240,83730223,23/01/2020,0
Ghana,G05,7.9465,-1.0232,137,30936375,23/01/2020,0
Greece,G06,39.0742,21.8243,81,10433037,23/01/2020,0
Grenada,G07,12.1165,-61.679,331,112418,23/01/2020,0
Guatemala,G08,15.7835,-90.2308,167,17846248,23/01/2020,0
Guinea,G09,9.9456,-9.6966,53,13056478,23/01/2020,0
Guinea-Bissau,G10,11.8037,-15.1804,70,1958132,23/01/2020,0
Guyana,G11,5,-58.75,4,785788,23/01/2020,0
Haiti,H01,18.9712,-72.2852,414,11373955,23/01/2020,0
Holy See,H02,41.9029,12.4534,2003,801,23/01/2020,0
Honduras,H03,15.2,-86.2419,89,9871892,23/01/2020,0
Hungary,H04,47.1625,19.5033,107,9665192,23/01/2020,0
Iceland,I01,64.9631,-19.0208,3,340795,23/01/2020,0
India,I02,21,78,464,1377233523,23/01/2020,0
Indonesia,I03,-0.7893,113.9213,151,272931713,23/01/2020,0
Iran,I04,32,53,52,83771587,23/01/2020,0
Iraq,I05,33,44,93,40031626,23/01/2020,0
Ireland,I06,53.1424,-7.6921,72,4926480,23/01/2020,0
Israel,I07,31,35,400,8627444,23/01/2020,0
Italy,I08,43,12,206,60479424,23/01/2020,0
Jamaica,J01,18.1096,-77.2975,273,2958567,23/01/2020,0
Japan,J02,36,138,347,126552765,23/01/2020,2
Jordan,J03,31.24,36.51,115,10182442,23/01/2020,0
Kazakhstan,K01,48.0196,66.9237,7,18730568,23/01/2020,0
Kenya,K02,-0.0236,37.9062,94,53521116,23/01/2020,0
Kosovo,K03,42.602636,20.902977,159,1845000,23/01/2020,0
Kuwait,K04,29.5,47.75,240,4257495,23/01/2020,0
Kyrgyzstan,K05,41.2044,74.7661,34,6501804,23/01/2020,0
Laos,L01,19.85627,102.495496,32,7253719,23/01/2020,0
Latvia,L02,56.8796,24.6032,30,1890218,23/01/2020,0
Lebanon,L03,33.8547,35.8623,667,6831445,23/01/2020,0
Lesotho,L04,-29.609988,28.233608,71,2138799,23/01/2020,0
Liberia,L05,6.4281,-9.4295,53,5032469,23/01/2020,0
Libya,L06,26.3351,17.228331,4,6852010,23/01/2020,0
Liechtenstein,L07,47.14,9.55,238,38106,23/01/2020,0
Lithuania,L08,55.1694,23.8813,43,2729553,23/01/2020,0
Luxembourg,L09,49.8153,6.1296,242,623861,23/01/2020,0
Madagascar,M01,-18.7669,46.8691,48,27539106,23/01/2020,0
Malawi,M02,-13.254308,34.301525,203,19024426,23/01/2020,0
Malaysia,M03,2.5,112.5,99,32280610,23/01/2020,0
Maldives,M04,3.2028,73.2207,1802,538558,23/01/2020,0
Mali,M05,17.570692,-3.996166,17,20125282,23/01/2020,0
Malta,M06,35.9375,14.3754,1380,441308,23/01/2020,0
Mauritania,M07,21.0079,10.9408,5,4623535,23/01/2020,0
Mauritius,M08,-20.2,57.5,626,1271347,23/01/2020,0
Mexico,M09,23.6345,-102.5528,66,128655589,23/01/2020,0
Moldova,M10,47.4116,28.3699,123,4035814,23/01/2020,0
Monaco,M11,43.7333,7.4167,26337,39186,23/01/2020,0
Mongolia,M12,46.8625,103.8467,2,3267320,23/01/2020,0
Montenegro,M13,42.5,19.3,47,628050,23/01/2020,0
Morocco,M14,31.7917,-7.0926,83,36820713,23/01/2020,0
Mozambique,M15,-18.665695,35.529562,40,31067362,23/01/2020,0
Namibia,N01,-22.9576,18.4904,3,2531290,23/01/2020,0
Nepal,N02,28.1667,84.25,203,29027347,23/01/2020,0
Netherlands,N03,12.5186,-70.0358,508,17127290,23/01/2020,0
New Zealand,N04,-40.9006,174.886,18,4814272,23/01/2020,0
Nicaragua,N05,12.8654,-85.2072,55,6608366,23/01/2020,0
Niger,N06,17.6078,8.0817,19,24014064,23/01/2020,0
Nigeria,N07,9.082,8.6753,226,205052107,23/01/2020,0
North Macedonia,N08,41.6086,21.7453,83,2083391,23/01/2020,0
Norway,N09,60.472,8.4689,15,5412632,23/01/2020,0
Oman,O01,21,57,16,5078933,23/01/2020,0
Pakistan,P01,30.3753,69.3451,287,219992900,23/01/2020,0
Panama,P02,8.538,-80.7821,58,4300667,23/01/2020,0
Papua New Guinea,P03,-6.315,143.9555,20,8911530,23/01/2020,0
Paraguay,P04,-23.4425,-58.4438,18,7114524,23/01/2020,0
Peru,P05,-9.19,-75.0152,26,32876986,23/01/2020,0
Philippines,P06,13,122,368,109280343,23/01/2020,0
Poland,P07,51.9194,19.1451,124,37854825,23/01/2020,0
Portugal,P08,39.3999,-8.2245,111,10202571,23/01/2020,0
Qatar,Q01,25.3548,51.1839,248,2870922,23/01/2020,0
Romania,R01,45.9432,24.9668,84,19262731,23/01/2020,0
Russia,R02,60,90,9,145922010,23/01/2020,0
Rwanda,R03,-1.9403,29.8739,525,12883878,23/01/2020,0
Saint Kitts and Nevis,S01,17.357822,-62.782998,205,53123,23/01/2020,0
Saint Lucia,S02,13.9094,-60.9789,301,183458,23/01/2020,0
Saint Vincent and the Grenadines,S03,12.9843,-61.2872,284,110869,23/01/2020,0
San Marino,S04,43.9424,12.4578,566,33917,23/01/2020,0
Sao Tome and Principe,S05,0.18636,6.613081,228,218308,23/01/2020,0
Saudi Arabia,S06,24,45,16,34701377,23/01/2020,0
Senegal,S07,14.4974,-14.4524,87,16649599,23/01/2020,0
Serbia,S08,44.0165,21.0059,100,8744288,23/01/2020,0
Seychelles,S09,-4.6796,55.492,214,98224,23/01/2020,0
Sierra Leone,S10,8.460555,-11.779889,111,7942879,23/01/2020,0
Singapore,S11,1.2833,103.8333,8358,5840996,23/01/2020,1
Slovakia,S12,48.669,19.699,114,5459116,23/01/2020,0
Slovenia,S13,46.1512,14.9955,103,2078881,23/01/2020,0
Somalia,S14,5.1521,46.1996,25,15798020,23/01/2020,0
South Africa,S15,-30.5595,22.9375,49,59154802,23/01/2020,0
South Sudan,S17,6.877,31.307,18,11166783,23/01/2020,0
Spain,S18,40,-4,94,46751175,23/01/2020,0
Sri Lanka,S19,7,81,341,21395196,23/01/2020,0
Sudan,S20,12.8628,30.2176,25,43632213,23/01/2020,0
Suriname,S21,3.9193,-56.0278,4,585561,23/01/2020,0
Sweden,S22,63,16,25,10086531,23/01/2020,0
Switzerland,S23,46.8182,8.2275,219,8641786,23/01/2020,0
Syria,S24,34.802075,38.996815,95,17410293,23/01/2020,0
Taiwan,T01,23.7,121,673,23808164,23/01/2020,1
Tajikistan,T02,38.861034,71.276093,68,9492342,23/01/2020,0
Tanzania,T03,-6.369,34.8888,67,59368313,23/01/2020,0
Thailand,T04,15,101,137,69764925,23/01/2020,3
Timor-Leste,T05,-8.874217,125.727539,89,1313184,23/01/2020,0
Togo,T06,8.6195,0.8248,152,8237580,23/01/2020,0
Trinidad and Tobago,T07,10.6918,-61.2225,273,1398579,23/01/2020,0
Tunisia,T08,34,9,76,11793319,23/01/2020,0
Turkey,T09,38.9637,35.2433,110,84153250,23/01/2020,0
Uganda,U01,1,32,229,45427637,23/01/2020,0
Ukraine,U02,48.3794,31.1656,75,43785122,23/01/2020,0
United Arab Emirates,U03,24,54,118,9865845,23/01/2020,0
United Kingdom,U04,32.3078,-64.7505,281,67814098,23/01/2020,0
Uruguay,U05,-32.5228,-55.7658,20,3471314,23/01/2020,0
US,U06,37.0902,-95.7129,36,330610570,23/01/2020,1
Uzbekistan,U07,41.3775,64.5853,79,33368859,23/01/2020,0
Venezuela,V01,6.4238,-66.5897,32,28451828,23/01/2020,0
Vietnam,V02,16,108,314,97160127,23/01/2020,2
Western Sahara,W01,24.2155,-12.8858,2,594215,23/01/2020,0
Yemen,Y01,15.552727,48.516388,56,29687214,23/01/2020,0
Zambia,Z01,-15.4167,28.2833,25,18273379,23/01/2020,0
Zimbabwe,Z02,-20,30,38,14818157,23/01/2020,0
South Korea,S16,36,128,527,51260395,23/01/2020,1
Grand,,,,,,23/01/2020,654
Afghanistan,A01,33,65,60,38742911,24/01/2020,0
