Country,CountryCode,Lat,Long,Density,Population,Date,Count
Guinea-Bissau,G10,11.8037,-15.1804,70,1958132,16/03/2020,0
Guyana,G11,5,-58.75,4,785788,16/03/2020,4
Haiti,H01,18.9712,-72.2852,414,11373955,16/03/2020,0
Holy See,H02,41.9029,12.4534,2003,801,16/03/2020,1
Honduras,H03,15.2,-86.2419,89,9871892,16/03/2020,6
Hungary,H04,47.1625,19.5033,107,9665192,16/03/2020,39
Iceland,I01,64.9631,-19.0208,3,340795,16/03/2020,180
India,I02,21,78,464,1377233523,16/03/2020,119
Indonesia,I03,-0.7893,113.9213,151,272931713,16/03/2020,134
Iran,I04,32,53,52,83771587,16/03/2020,14991
Iraq,I05,33,44,93,40031626,16/03/2020,124
Ireland,I06,53.1424,-7.6921,72,4926480,16/03/2020,169
Israel,I07,31,35,400,8627444,16/03/2020,218
Italy,I08,43,12,206,60479424,16/03/2020,27980
Jamaica,J01,18.1096,-77.2975,273,2958567,16/03/2020,10
Japan,J02,36,138,347,126552765,16/03/2020,839
Jordan,J03,31.24,36.51,115,10182442,16/03/2020,17
Kazakhstan,K01,48.0196,66.9237,7,18730568,16/03/2020,10
Kenya,K02,-0.0236,37.9062,94,53521116,16/03/2020,3
Kosovo,K03,42.602636,20.902977,159,1845000,16/03/2020,0
Kuwait,K04,29.5,47.75,240,4257495,16/03/2020,123
Kyrgyzstan,K05,41.2044,74.7661,34,6501804,16/03/2020,0
Laos,L01,19.85627,102.495496,32,7253719,16/03/2020,0
Latvia,L02,56.8796,24.6032,30,1890218,16/03/2020,34
Lebanon,L03,33.8547,35.8623,667,6831445,16/03/2020,110
Lesotho,L04,-29.609988,28.233608,71,2138799,16/03/2020,0
Liberia,L05,6.4281,-9.4295,53,5032469,16/03/2020,1
Libya,L06,26.3351,17.228331,4,6852010,16/03/2020,0
Liechtenstein,L07,47.14,9.55,238,38106,16/03/2020,4
Lithuania,L08,55.1694,23.8813,43,2729553,16/03/2020,17
Luxembourg,L09,49.8153,6.1296,242,623861,16/03/2020,77
Madagascar,M01,-18.7669,46.8691,48,27539106,16/03/2020,0
Malawi,M02,-13.254308,34.301525,203,19024426,16/03/2020,0
Malaysia,M03,2.5,112.5,99,32280610,16/03/2020,566
Maldives,M04,3.2028,73.2207,1802,538558,16/03/2020,13
Mali,M05,17.570692,-3.996166,17,20125282,16/03/2020,0
Malta,M06,35.9375,14.3754,1380,441308,16/03/2020,30
Mauritania,M07,21.0079,10.9408,5,4623535,16/03/2020,1
Mauritius,M08,-20.2,57.5,626,1271347,16/03/2020,0
Mexico,M09,23.6345,-102.5528,66,128655589,16/03/2020,82
Moldova,M10,47.4116,28.3699,123,4035814,16/03/2020,23
Monaco,M11,43.7333,7.4167,26337,39186,16/03/2020,7
Mongolia,M12,46.8625,103.8467,2,3267320,16/03/2020,1
Montenegro,M13,42.5,19.3,47,628050,16/03/2020,0
Morocco,M14,31.7917,-7.0926,83,36820713,16/03/2020,29
Mozambique,M15,-18.665695,35.529562,40,31067362,16/03/2020,0
Namibia,N01,-22.9576,18.4904,3,2531290,16/03/2020,2
Nepal,N02,28.1667,84.25,203,29027347,16/03/2020,1
Netherlands,N03,12.5186,-70.0358,508,17127290,16/03/2020,1416
New Zealand,N04,-40.9006,174.886,18,4814272,16/03/2020,8
Nicaragua,N05,12.8654,-85.2072,55,6608366,16/03/2020,0
Niger,N06,17.6078,8.0817,19,24014064,16/03/2020,0
Nigeria,N07,9.082,8.6753,226,205052107,16/03/2020,2
North Macedonia,N08,41.6086,21.7453,83,2083391,16/03/2020,18
Norway,N09,60.472,8.4689,15,5412632,16/03/2020,1333
Oman,O01,21,57,16,5078933,16/03/2020,22
Pakistan,P01,30.3753,69.3451,287,219992900,16/03/2020,236
Panama,P02,8.538,-80.7821,58,4300667,16/03/2020,55
Papua New Guinea,P03,-6.315,143.9555,20,8911530,16/03/2020,0
Paraguay,P04,-23.4425,-58.4438,18,7114524,16/03/2020,8
Peru,P05,-9.19,-75.0152,26,32876986,16/03/2020,86
Philippines,P06,13,122,368,109280343,16/03/2020,142
Poland,P07,51.9194,19.1451,124,37854825,16/03/2020,177
Portugal,P08,39.3999,-8.2245,111,10202571,16/03/2020,331
Qatar,Q01,25.3548,51.1839,248,2870922,16/03/2020,439
Romania,R01,45.9432,24.9668,84,19262731,16/03/2020,158
Russia,R02,60,90,9,145922010,16/03/2020,90
Rwanda,R03,-1.9403,29.8739,525,12883878,16/03/2020,5
Saint Kitts and Nevis,S01,17.357822,-62.782998,205,53123,16/03/2020,0
Saint Lucia,S02,13.9094,-60.9789,301,183458,16/03/2020,2
Saint Vincent and the Grenadines,S03,12.9843,-61.2872,284,110869,16/03/2020,1
San Marino,S04,43.9424,12.4578,566,33917,16/03/2020,109
Sao Tome and Principe,S05,0.18636,6.613081,228,218308,16/03/2020,0
Saudi Arabia,S06,24,45,16,34701377,16/03/2020,118
Senegal,S07,14.4974,-14.4524,87,16649599,16/03/2020,24
Serbia,S08,44.0165,21.0059,100,8744288,16/03/2020,55
Seychelles,S09,-4.6796,55.492,214,98224,16/03/2020,3
Sierra Leone,S10,8.460555,-11.779889,111,7942879,16/03/2020,0
Singapore,S11,1.2833,103.8333,8358,5840996,16/03/2020,243
Slovakia,S12,48.669,19.699,114,5459116,16/03/2020,63
Slovenia,S13,46.1512,14.9955,103,2078881,16/03/2020,253
Somalia,S14,5.1521,46.1996,25,15798020,16/03/2020,1
South Africa,S15,-30.5595,22.9375,49,59154802,16/03/2020,62
South Sudan,S17,6.877,31.307,18,11166783,16/03/2020,0
Spain,S18,40,-4,94,46751175,16/03/2020,9942
Sri Lanka,S19,7,81,341,21395196,16/03/2020,28
Sudan,S20,12.8628,30.2176,25,43632213,16/03/2020,1
Suriname,S21,3.9193,-56.0278,4,585561,16/03/2020,1
Sweden,S22,63,16,25,10086531,16/03/2020,1103
Switzerland,S23,46.8182,8.2275,219,8641786,16/03/2020,2200
Syria,S24,34.802075,38.996815,95,17410293,16/03/2020,0
Taiwan,T01,23.7,121,673,23808164,16/03/2020,67
Tajikistan,T02,38.861034,71.276093,68,9492342,16/03/2020,0
Tanzania,T03,-6.369,34.8888,67,59368313,16/03/2020,1
Thailand,T04,15,101,137,69764925,16/03/2020,147
Timor-Leste,T05,-8.874217,125.727539,89,1313184,16/03/2020,0
Togo,T06,8.6195,0.8248,152,8237580,16/03/2020,1
Trinidad and Tobago,T07,10.6918,-61.2225,273,1398579,16/03/2020,4
Tunisia,T08,34,9,76,11793319,16/03/2020,20
Turkey,T09,38.9637,35.2433,110,84153250,16/03/2020,18
Uganda,U01,1,32,229,45427637,16/03/2020,0
Ukraine,U02,48.3794,31.1656,75,43785122,16/03/2020,7
United Arab Emirates,U03,24,54,118,9865845,16/03/2020,98
United Kingdom,U04,32.3078,-64.7505,281,67814098,16/03/2020,3692
Uruguay,U05,-32.5228,-55.7658,20,3471314,16/03/2020,29
US,U06,37.0902,-95.7129,36,330610570,16/03/2020,4360
Uzbekistan,U07,41.3775,64.5853,79,33368859,16/03/2020,6
Venezuela,V01,6.4238,-66.5897,32,28451828,16/03/2020,17
Vietnam,V02,16,108,314,97160127,16/03/2020,61
Western Sahara,W01,24.2155,-12.8858,2,594215,16/03/2020,0
Yemen,Y01,15.552727,48.516388,56,29687214,16/03/2020,0
Zambia,Z01,-15.4167,28.2833,25,18273379,16/03/2020,0
Zimbabwe,Z02,-20,30,38,14818157,16/03/2020,0
South Korea,S16,36,128,527,51260395,16/03/2020,8236
Grand,,,,,,16/03/2020,182846
Afghanistan,A01,33,65,60,38742911,17/03/2020,22
Albania,A02,41.1533,20.1683,105,2878420,17/03/2020,55
Algeria,A03,28.0339,1.6596,18,43685618,17/03/2020,60
Andorra,A04,42.5063,1.5218,164,77240,17/03/2020,39
Angola,A05,-11.2027,17.8739,26,32644783,17/03/2020,0
Antigua and Barbuda,A06,17.0608,-61.7964,223,97764,17/03/2020,1
Argentina,A07,-38.4161,-63.6167,17,45111229,17/03/2020,68
Armenia,A08,40.0691,45.0382,104,2962137,17/03/2020,78
Australia,A09,-35.4735,149.0124,3,25439164,17/03/2020,452
Austria,A10,47.5162,14.5501,109,8996022,17/03/2020,1332
Azerbaijan,A11,40.1431,47.5769,123,10120555,17/03/2020,28
Bahamas,B01,25.0343,-77.3963,39,392477,17/03/2020,1
Bahrain,B02,26.0275,50.55,2239,1688629,17/03/2020,228
Bangladesh,B03,23.685,90.3563,1265,164354176,17/03/2020,10
Barbados,B04,13.1939,-59.5432,668,287305,17/03/2020,2
Belarus,B05,53.7098,27.9534,47,9449940,17/03/2020,36
Belgium,B06,50.8333,4,383,11579477,17/03/2020,1243
Belize,B07,13.1939,-59.5432,17,396120,17/03/2020,0
Benin,B08,9.3077,2.3158,108,12055347,17/03/2020,1
Bhutan,B09,27.5142,90.4336,20,769867,17/03/2020,1
Bolivia,B10,-16.2902,-63.5887,11,11640159,17/03/2020,11
Bosnia and Herzegovina,B11,43.9159,17.6791,64,3284806,17/03/2020,26
Botswana,B12,-22.3285,24.6849,4,2341649,17/03/2020,0
Brazil,B13,-14.235,-51.9253,25,212253150,17/03/2020,321
Brunei,B14,4.5353,114.7277,83,436624,17/03/2020,56
Bulgaria,B15,42.7339,25.4858,64,6958627,17/03/2020,67
Burkina Faso,B16,12.2383,-1.5616,76,20780371,17/03/2020,15
Burundi,B17,-3.3731,29.9189,463,11814346,17/03/2020,0
Cabo Verde,C01,16.5388,-23.0418,138,554750,17/03/2020,0
Cambodia,C02,11.55,104.9167,95,16671185,17/03/2020,33
Cameroon,C03,3.848,11.5021,56,26405174,17/03/2020,10
Canada,C04,53.9333,-116.5765,4,37674770,17/03/2020,478
Central African Republic,C05,6.6111,20.9394,8,4812256,17/03/2020,1
Chad,C06,15.4542,18.7322,13,16324440,17/03/2020,0
Chile,C07,-35.6751,-71.543,26,19082804,17/03/2020,201
China,C08,31.8257,117.2264,153,1438207241,17/03/2020,81058
Colombia,C09,4.5709,-74.2973,46,50771878,17/03/2020,65
Comoros,C10,-11.6455,43.3333,467,865696,17/03/2020,0
Costa Rica,C12,9.7489,-83.7534,100,5084636,17/03/2020,41
Cote d'Ivoire,C13,7.54,-5.5471,83,26239250,17/03/2020,5
Croatia,C14,45.1,15.2,73,4110214,17/03/2020,65
Cuba,C15,22,-80,106,11327988,17/03/2020,5
Cyprus,C16,35.1264,33.4299,131,1205577,17/03/2020,46
Czechia,C17,49.8175,15.473,139,10705012,17/03/2020,396
Denmark,D01,61.8926,-6.9118,137,5788108,17/03/2020,1025
Djibouti,D02,11.8251,42.5903,43,985027,17/03/2020,0
Dominica,D03,15.415,-61.371,96,71950,17/03/2020,0
Dominican Republic,D04,18.7357,-70.1627,225,10825682,17/03/2020,21
Ecuador,E01,-1.8312,-78.1834,71,17587526,17/03/2020,58
Egypt,E02,26,30,103,101930276,17/03/2020,196
El Salvador,E03,13.7942,-88.8965,313,6479609,17/03/2020,0
Equatorial Guinea,E04,1.5,10,50,1392950,17/03/2020,1
Eritrea,E05,15.1794,39.7823,35,3536285,17/03/2020,0
Estonia,E06,58.5953,25.0136,31,1326357,17/03/2020,225
Eswatini,E07,-26.5225,31.4659,67,1157707,17/03/2020,1
Ethiopia,E08,9.145,40.4897,115,114357494,17/03/2020,5
Fiji,F01,-17.7134,178.065,49,895128,17/03/2020,0
Finland,F02,64,26,18,5539002,17/03/2020,321
France,F03,3.9339,-53.1258,119,65244628,17/03/2020,7715
Gabon,G01,-0.8037,11.6094,9,2214593,17/03/2020,1
Gambia,G02,13.4432,-15.3101,239,2402083,17/03/2020,1
Georgia,G03,42.3154,43.3569,57,3990681,17/03/2020,34
Germany,G04,51,9,240,83730223,17/03/2020,9257
Ghana,G05,7.9465,-1.0232,137,30936375,17/03/2020,7
Greece,G06,39.0742,21.8243,81,10433037,17/03/2020,387
Grenada,G07,12.1165,-61.679,331,112418,17/03/2020,0
Guatemala,G08,15.7835,-90.2308,167,17846248,17/03/2020,6
Guinea,G09,9.9456,-9.6966,53,13056478,17/03/2020,1
Guinea-Bissau,G10,11.8037,-15.1804,70,1958132,17/03/2020,0
Guyana,G11,5,-58.75,4,785788,17/03/2020,7
Haiti,H01,18.9712,-72.2852,414,11373955,17/03/2020,0
Holy See,H02,41.9029,12.4534,2003,801,17/03/2020,1
Honduras,H03,15.2,-86.2419,89,9871892,17/03/2020,8
Hungary,H04,47.1625,19.5033,107,9665192,17/03/2020,50
Iceland,I01,64.9631,-19.0208,3,340795,17/03/2020,220
India,I02,21,78,464,1377233523,17/03/2020,142
Indonesia,I03,-0.7893,113.9213,151,272931713,17/03/2020,172
Iran,I04,32,53,52,83771587,17/03/2020,16169
Iraq,I05,33,44,93,40031626,17/03/2020,154
Ireland,I06,53.1424,-7.6921,72,4926480,17/03/2020,223
Israel,I07,31,35,400,8627444,17/03/2020,250
Italy,I08,43,12,206,60479424,17/03/2020,31506
Jamaica,J01,18.1096,-77.2975,273,2958567,17/03/2020,12
Japan,J02,36,138,347,126552765,17/03/2020,878
Jordan,J03,31.24,36.51,115,10182442,17/03/2020,34
Kazakhstan,K01,48.0196,66.9237,7,18730568,17/03/2020,33
Kenya,K02,-0.0236,37.9062,94,53521116,17/03/2020,3
Kosovo,K03,42.602636,20.902977,159,1845000,17/03/2020,0
Kuwait,K04,29.5,47.75,240,4257495,17/03/2020,130
Kyrgyzstan,K05,41.2044,74.7661,34,6501804,17/03/2020,0
Laos,L01,19.85627,102.495496,32,7253719,17/03/2020,0
Latvia,L02,56.8796,24.6032,30,1890218,17/03/2020,49
Lebanon,L03,33.8547,35.8623,667,6831445,17/03/2020,120
Lesotho,L04,-29.609988,28.233608,71,2138799,17/03/2020,0
Liberia,L05,6.4281,-9.4295,53,5032469,17/03/2020,1
Libya,L06,26.3351,17.228331,4,6852010,17/03/2020,0
Liechtenstein,L07,47.14,9.55,238,38106,17/03/2020,7
Lithuania,L08,55.1694,23.8813,43,2729553,17/03/2020,25
Luxembourg,L09,49.8153,6.1296,242,623861,17/03/2020,140
Madagascar,M01,-18.7669,46.8691,48,27539106,17/03/2020,0
Malawi,M02,-13.254308,34.301525,203,19024426,17/03/2020,0
Malaysia,M03,2.5,112.5,99,32280610,17/03/2020,673
Maldives,M04,3.2028,73.2207,1802,538558,17/03/2020,13
Mali,M05,17.570692,-3.996166,17,20125282,17/03/2020,0
Malta,M06,35.9375,14.3754,1380,441308,17/03/2020,38
Mauritania,M07,21.0079,10.9408,5,4623535,17/03/2020,1
Mauritius,M08,-20.2,57.5,626,1271347,17/03/2020,0
Mexico,M09,23.6345,-102.5528,66,128655589,17/03/2020,93
Moldova,M10,47.4116,28.3699,123,4035814,17/03/2020,30
Monaco,M11,43.7333,7.4167,26337,39186,17/03/2020,7
Mongolia,M12,46.8625,103.8467,2,3267320,17/03/2020,5
Montenegro,M13,42.5,19.3,47,628050,17/03/2020,2
Morocco,M14,31.7917,-7.0926,83,36820713,17/03/2020,38
Mozambique,M15,-18.665695,35.529562,40,31067362,17/03/2020,0
Namibia,N01,-22.9576,18.4904,3,2531290,17/03/2020,2
Nepal,N02,28.1667,84.25,203,29027347,17/03/2020,1
Netherlands,N03,12.5186,-70.0358,508,17127290,17/03/2020,1711
New Zealand,N04,-40.9006,174.886,18,4814272,17/03/2020,12
Nicaragua,N05,12.8654,-85.2072,55,6608366,17/03/2020,0
Niger,N06,17.6078,8.0817,19,24014064,17/03/2020,0
Nigeria,N07,9.082,8.6753,226,205052107,17/03/2020,3
North Macedonia,N08,41.6086,21.7453,83,2083391,17/03/2020,26
Norway,N09,60.472,8.4689,15,5412632,17/03/2020,1463
Oman,O01,21,57,16,5078933,17/03/2020,24
Pakistan,P01,30.3753,69.3451,287,219992900,17/03/2020,299
Panama,P02,8.538,-80.7821,58,4300667,17/03/2020,69
Papua New Guinea,P03,-6.315,143.9555,20,8911530,17/03/2020,0
Paraguay,P04,-23.4425,-58.4438,18,7114524,17/03/2020,9
Peru,P05,-9.19,-75.0152,26,32876986,17/03/2020,117
Philippines,P06,13,122,368,109280343,17/03/2020,187
Poland,P07,51.9194,19.1451,124,37854825,17/03/2020,238
Portugal,P08,39.3999,-8.2245,111,10202571,17/03/2020,448
Qatar,Q01,25.3548,51.1839,248,2870922,17/03/2020,439
Romania,R01,45.9432,24.9668,84,19262731,17/03/2020,184
Russia,R02,60,90,9,145922010,17/03/2020,114
Rwanda,R03,-1.9403,29.8739,525,12883878,17/03/2020,7
Saint Kitts and Nevis,S01,17.357822,-62.782998,205,53123,17/03/2020,0
Saint Lucia,S02,13.9094,-60.9789,301,183458,17/03/2020,2
Saint Vincent and the Grenadines,S03,12.9843,-61.2872,284,110869,17/03/2020,1
San Marino,S04,43.9424,12.4578,566,33917,17/03/2020,109
Sao Tome and Principe,S05,0.18636,6.613081,228,218308,17/03/2020,0
Saudi Arabia,S06,24,45,16,34701377,17/03/2020,171
Senegal,S07,14.4974,-14.4524,87,16649599,17/03/2020,26
Serbia,S08,44.0165,21.0059,100,8744288,17/03/2020,65
Seychelles,S09,-4.6796,55.492,214,98224,17/03/2020,4
Sierra Leone,S10,8.460555,-11.779889,111,7942879,17/03/2020,0
Singapore,S11,1.2833,103.8333,8358,5840996,17/03/2020,266
Slovakia,S12,48.669,19.699,114,5459116,17/03/2020,72
Slovenia,S13,46.1512,14.9955,103,2078881,17/03/2020,275
Somalia,S14,5.1521,46.1996,25,15798020,17/03/2020,1
South Africa,S15,-30.5595,22.9375,49,59154802,17/03/2020,62
South Sudan,S17,6.877,31.307,18,11166783,17/03/2020,0
Spain,S18,40,-4,94,46751175,17/03/2020,11748
Sri Lanka,S19,7,81,341,21395196,17/03/2020,44
Sudan,S20,12.8628,30.2176,25,43632213,17/03/2020,1
Suriname,S21,3.9193,-56.0278,4,585561,17/03/2020,1
Sweden,S22,63,16,25,10086531,17/03/2020,1190
Switzerland,S23,46.8182,8.2275,219,8641786,17/03/2020,2700
Syria,S24,34.802075,38.996815,95,17410293,17/03/2020,0
Taiwan,T01,23.7,121,673,23808164,17/03/2020,77
Tajikistan,T02,38.861034,71.276093,68,9492342,17/03/2020,0
Tanzania,T03,-6.369,34.8888,67,59368313,17/03/2020,1
Thailand,T04,15,101,137,69764925,17/03/2020,177
Timor-Leste,T05,-8.874217,125.727539,89,1313184,17/03/2020,0
Togo,T06,8.6195,0.8248,152,8237580,17/03/2020,1
Trinidad and Tobago,T07,10.6918,-61.2225,273,1398579,17/03/2020,5
Tunisia,T08,34,9,76,11793319,17/03/2020,24
Turkey,T09,38.9637,35.2433,110,84153250,17/03/2020,47
Uganda,U01,1,32,229,45427637,17/03/2020,0
Ukraine,U02,48.3794,31.1656,75,43785122,17/03/2020,14
United Arab Emirates,U03,24,54,118,9865845,17/03/2020,98
United Kingdom,U04,32.3078,-64.7505,281,67814098,17/03/2020,4462
Uruguay,U05,-32.5228,-55.7658,20,3471314,17/03/2020,50
US,U06,37.0902,-95.7129,36,330610570,17/03/2020,6141
Uzbekistan,U07,41.3775,64.5853,79,33368859,17/03/2020,10
Venezuela,V01,6.4238,-66.5897,32,28451828,17/03/2020,33
Vietnam,V02,16,108,314,97160127,17/03/2020,66
Western Sahara,W01,24.2155,-12.8858,2,594215,17/03/2020,0
Yemen,Y01,15.552727,48.516388,56,29687214,17/03/2020,0
Zambia,Z01,-15.4167,28.2833,25,18273379,17/03/2020,0
Zimbabwe,Z02,-20,30,38,14818157,17/03/2020,0
South Korea,S16,36,128,527,51260395,17/03/2020,8320
Grand,,,,,,17/03/2020,198670
Afghanistan,A01,33,65,60,38742911,18/03/2020,22
Albania,A02,41.1533,20.1683,105,2878420,18/03/2020,59
Algeria,A03,28.0339,1.6596,18,43685618,18/03/2020,74
Andorra,A04,42.5063,1.5218,164,77240,18/03/2020,39
Angola,A05,-11.2027,17.8739,26,32644783,18/03/2020,0
Antigua and Barbuda,A06,17.0608,-61.7964,223,97764,18/03/2020,1
Argentina,A07,-38.4161,-63.6167,17,45111229,18/03/2020,79
Armenia,A08,40.0691,45.0382,104,2962137,18/03/2020,84
Australia,A09,-35.4735,149.0124,3,25439164,18/03/2020,568
Austria,A10,47.5162,14.5501,109,8996022,18/03/2020,1646
Azerbaijan,A11,40.1431,47.5769,123,10120555,18/03/2020,28
Bahamas,B01,25.0343,-77.3963,39,392477,18/03/2020,1
Bahrain,B02,26.0275,50.55,2239,1688629,18/03/2020,256
Bangladesh,B03,23.685,90.3563,1265,164354176,18/03/2020,14
Barbados,B04,13.1939,-59.5432,668,287305,18/03/2020,2
Belarus,B05,53.7098,27.9534,47,9449940,18/03/2020,51
Belgium,B06,50.8333,4,383,11579477,18/03/2020,1486
Belize,B07,13.1939,-59.5432,17,396120,18/03/2020,0
Benin,B08,9.3077,2.3158,108,12055347,18/03/2020,2
Bhutan,B09,27.5142,90.4336,20,769867,18/03/2020,1
Bolivia,B10,-16.2902,-63.5887,11,11640159,18/03/2020,12
Bosnia and Herzegovina,B11,43.9159,17.6791,64,3284806,18/03/2020,38
Botswana,B12,-22.3285,24.6849,4,2341649,18/03/2020,0
Brazil,B13,-14.235,-51.9253,25,212253150,18/03/2020,372
Brunei,B14,4.5353,114.7277,83,436624,18/03/2020,68
Bulgaria,B15,42.7339,25.4858,64,6958627,18/03/2020,92
Burkina Faso,B16,12.2383,-1.5616,76,20780371,18/03/2020,20
Burundi,B17,-3.3731,29.9189,463,11814346,18/03/2020,0
Cabo Verde,C01,16.5388,-23.0418,138,554750,18/03/2020,0
Cambodia,C02,11.55,104.9167,95,16671185,18/03/2020,35
Cameroon,C03,3.848,11.5021,56,26405174,18/03/2020,10
Canada,C04,53.9333,-116.5765,4,37674770,18/03/2020,657
Central African Republic,C05,6.6111,20.9394,8,4812256,18/03/2020,1
Chad,C06,15.4542,18.7322,13,16324440,18/03/2020,0
Chile,C07,-35.6751,-71.543,26,19082804,18/03/2020,238
China,C08,31.8257,117.2264,153,1438207241,18/03/2020,81102
Colombia,C09,4.5709,-74.2973,46,50771878,18/03/2020,93
Comoros,C10,-11.6455,43.3333,467,865696,18/03/2020,0
Costa Rica,C12,9.7489,-83.7534,100,5084636,18/03/2020,50
Cote d'Ivoire,C13,7.54,-5.5471,83,26239250,18/03/2020,6
Croatia,C14,45.1,15.2,73,4110214,18/03/2020,81
Cuba,C15,22,-80,106,11327988,18/03/2020,7
Cyprus,C16,35.1264,33.4299,131,1205577,18/03/2020,49
Czechia,C17,49.8175,15.473,139,10705012,18/03/2020,464
Denmark,D01,61.8926,-6.9118,137,5788108,18/03/2020,1116
Djibouti,D02,11.8251,42.5903,43,985027,18/03/2020,1
Dominica,D03,15.415,-61.371,96,71950,18/03/2020,0
Dominican Republic,D04,18.7357,-70.1627,225,10825682,18/03/2020,21
Ecuador,E01,-1.8312,-78.1834,71,17587526,18/03/2020,111
Egypt,E02,26,30,103,101930276,18/03/2020,196
El Salvador,E03,13.7942,-88.8965,313,6479609,18/03/2020,0
Equatorial Guinea,E04,1.5,10,50,1392950,18/03/2020,4
Eritrea,E05,15.1794,39.7823,35,3536285,18/03/2020,0
Estonia,E06,58.5953,25.0136,31,1326357,18/03/2020,258
Eswatini,E07,-26.5225,31.4659,67,1157707,18/03/2020,1
Ethiopia,E08,9.145,40.4897,115,114357494,18/03/2020,6
Fiji,F01,-17.7134,178.065,49,895128,18/03/2020,0
Finland,F02,64,26,18,5539002,18/03/2020,336
France,F03,3.9339,-53.1258,119,65244628,18/03/2020,9124
Gabon,G01,-0.8037,11.6094,9,2214593,18/03/2020,1
Gambia,G02,13.4432,-15.3101,239,2402083,18/03/2020,1
Georgia,G03,42.3154,43.3569,57,3990681,18/03/2020,38
Germany,G04,51,9,240,83730223,18/03/2020,12327
Ghana,G05,7.9465,-1.0232,137,30936375,18/03/2020,7
Greece,G06,39.0742,21.8243,81,10433037,18/03/2020,418
Grenada,G07,12.1165,-61.679,331,112418,18/03/2020,0
Guatemala,G08,15.7835,-90.2308,167,17846248,18/03/2020,6
Guinea,G09,9.9456,-9.6966,53,13056478,18/03/2020,1
Guinea-Bissau,G10,11.8037,-15.1804,70,1958132,18/03/2020,0
Guyana,G11,5,-58.75,4,785788,18/03/2020,7
Haiti,H01,18.9712,-72.2852,414,11373955,18/03/2020,0
Holy See,H02,41.9029,12.4534,2003,801,18/03/2020,1
Honduras,H03,15.2,-86.2419,89,9871892,18/03/2020,9
Hungary,H04,47.1625,19.5033,107,9665192,18/03/2020,58
Iceland,I01,64.9631,-19.0208,3,340795,18/03/2020,250
India,I02,21,78,464,1377233523,18/03/2020,156
Indonesia,I03,-0.7893,113.9213,151,272931713,18/03/2020,227
Iran,I04,32,53,52,83771587,18/03/2020,17361
Iraq,I05,33,44,93,40031626,18/03/2020,164
Ireland,I06,53.1424,-7.6921,72,4926480,18/03/2020,292
Israel,I07,31,35,400,8627444,18/03/2020,304
Italy,I08,43,12,206,60479424,18/03/2020,35713
Jamaica,J01,18.1096,-77.2975,273,2958567,18/03/2020,13
Japan,J02,36,138,347,126552765,18/03/2020,889
Jordan,J03,31.24,36.51,115,10182442,18/03/2020,52
Kazakhstan,K01,48.0196,66.9237,7,18730568,18/03/2020,35
Kenya,K02,-0.0236,37.9062,94,53521116,18/03/2020,3
Kosovo,K03,42.602636,20.902977,159,1845000,18/03/2020,0
Kuwait,K04,29.5,47.75,240,4257495,18/03/2020,142
Kyrgyzstan,K05,41.2044,74.7661,34,6501804,18/03/2020,3
Laos,L01,19.85627,102.495496,32,7253719,18/03/2020,0
Latvia,L02,56.8796,24.6032,30,1890218,18/03/2020,71
Lebanon,L03,33.8547,35.8623,667,6831445,18/03/2020,133
Lesotho,L04,-29.609988,28.233608,71,2138799,18/03/2020,0
Liberia,L05,6.4281,-9.4295,53,5032469,18/03/2020,2
Libya,L06,26.3351,17.228331,4,6852010,18/03/2020,0
Liechtenstein,L07,47.14,9.55,238,38106,18/03/2020,28
Lithuania,L08,55.1694,23.8813,43,2729553,18/03/2020,27
Luxembourg,L09,49.8153,6.1296,242,623861,18/03/2020,203
Madagascar,M01,-18.7669,46.8691,48,27539106,18/03/2020,0
Malawi,M02,-13.254308,34.301525,203,19024426,18/03/2020,0
Malaysia,M03,2.5,112.5,99,32280610,18/03/2020,790
Maldives,M04,3.2028,73.2207,1802,538558,18/03/2020,13
Mali,M05,17.570692,-3.996166,17,20125282,18/03/2020,0
Malta,M06,35.9375,14.3754,1380,441308,18/03/2020,38
Mauritania,M07,21.0079,10.9408,5,4623535,18/03/2020,1
Mauritius,M08,-20.2,57.5,626,1271347,18/03/2020,3
Mexico,M09,23.6345,-102.5528,66,128655589,18/03/2020,118
Moldova,M10,47.4116,28.3699,123,4035814,18/03/2020,30
Monaco,M11,43.7333,7.4167,26337,39186,18/03/2020,7
Mongolia,M12,46.8625,103.8467,2,3267320,18/03/2020,6
Montenegro,M13,42.5,19.3,47,628050,18/03/2020,2
Morocco,M14,31.7917,-7.0926,83,36820713,18/03/2020,49
Mozambique,M15,-18.665695,35.529562,40,31067362,18/03/2020,0
Namibia,N01,-22.9576,18.4904,3,2531290,18/03/2020,2
Nepal,N02,28.1667,84.25,203,29027347,18/03/2020,1
Netherlands,N03,12.5186,-70.0358,508,17127290,18/03/2020,2058
New Zealand,N04,-40.9006,174.886,18,4814272,18/03/2020,20
Nicaragua,N05,12.8654,-85.2072,55,6608366,18/03/2020,0
Niger,N06,17.6078,8.0817,19,24014064,18/03/2020,0
Nigeria,N07,9.082,8.6753,226,205052107,18/03/2020,8
North Macedonia,N08,41.6086,21.7453,83,2083391,18/03/2020,35
Norway,N09,60.472,8.4689,15,5412632,18/03/2020,1550
Oman,O01,21,57,16,5078933,18/03/2020,39
Pakistan,P01,30.3753,69.3451,287,219992900,18/03/2020,454
