Country/Region,CountryCode,Lat,Long,Count,Density,Population (2020),DensityGroup
Slovenia,S13,46.1512,14.9955,1679,103,2078881,>100<=500
Armenia,A08,40.0691,45.0382,27900,104,2962137,>100<=500
Albania,A02,41.1533,20.1683,2819,105,2878420,>100<=500
Cuba,C15,22,-80,2369,106,11327988,>100<=500
Hungary,H04,47.1625,19.5033,4174,107,9665192,>100<=500
Benin,B08,9.3077,2.3158,1199,108,12055347,>100<=500
Austria,A10,47.5162,14.5501,18165,109,8996022,>100<=500
Turkey,T09,38.9637,35.2433,204610,110,84153250,>100<=500
Portugal,P08,39.3999,-8.2245,43569,111,10202571,>100<=500
Sierra Leone,S10,8.460555,-11.779889,1533,111,7942879,>100<=500
Slovakia,S12,48.669,19.699,1749,114,5459116,>100<=500
Ethiopia,E08,9.145,40.4897,5846,115,114357494,>100<=500
Jordan,J03,31.24,36.51,1150,115,10182442,>100<=500
United Arab Emirates,U03,24,54,50857,118,9865845,>100<=500
France,F03,3.9339,-53.1258,204222,119,65244628,>100<=500
Azerbaijan,A11,40.1431,47.5769,19801,123,10120555,>100<=500
Moldova,M10,47.4116,28.3699,17672,123,4035814,>100<=500
Poland,P07,51.9194,19.1451,35719,124,37854825,>100<=500
Cyprus,C16,35.1264,33.4299,1002,131,1205577,>100<=500
Denmark,D01,61.8926,-6.9118,13032,137,5788108,>100<=500
Ghana,G05,7.9465,-1.0232,19388,137,30936375,>100<=500
Thailand,T04,15,101,3185,137,69764925,>100<=500
Cabo Verde,C01,16.5388,-23.0418,1421,138,554750,>100<=500
Czechia,C17,49.8175,15.473,12440,139,10705012,>100<=500
Indonesia,I03,-0.7893,113.9213,62142,151,272931713,>100<=500
Togo,T06,8.6195,0.8248,676,152,8237580,>100<=500
China,C08,31.8257,117.2264,84857,153,1438207241,>100<=500
Kosovo,K03,42.602636,20.902977,3064,159,1845000,>100<=500
Andorra,A04,42.5063,1.5218,855,164,77240,>100<=500
Guatemala,G08,15.7835,-90.2308,22501,167,17846248,>100<=500
Nepal,N02,28.1667,84.25,15491,203,29027347,>100<=500
Malawi,M02,-13.254308,34.301525,1613,203,19024426,>100<=500
Saint Kitts and Nevis,S01,17.357822,-62.782998,16,205,53123,>100<=500
Italy,I08,43,12,241419,206,60479424,>100<=500
Seychelles,S09,-4.6796,55.492,81,214,98224,>100<=500
Switzerland,S23,46.8182,8.2275,32198,219,8641786,>100<=500
Antigua and Barbuda,A06,17.0608,-61.7964,68,223,97764,>100<=500
Dominican Republic,D04,18.7357,-70.1627,36184,225,10825682,>100<=500
Nigeria,N07,9.082,8.6753,28167,226,205052107,>100<=500
Sao Tome and Principe,S05,0.18636,6.613081,719,228,218308,>100<=500
Uganda,U01,1,32,927,229,45427637,>100<=500
Liechtenstein,L07,47.14,9.55,83,238,38106,>100<=500
Gambia,G02,13.4432,-15.3101,57,239,2402083,>100<=500
Germany,G04,51,9,197198,240,83730223,>100<=500
Kuwait,K04,29.5,47.75,49303,240,4257495,>100<=500
Luxembourg,L09,49.8153,6.1296,4476,242,623861,>100<=500
Qatar,Q01,25.3548,51.1839,99183,248,2870922,>100<=500
Jamaica,J01,18.1096,-77.2975,728,273,2958567,>100<=500
Trinidad and Tobago,T07,10.6918,-61.2225,130,273,1398579,>100<=500
United Kingdom,U04,32.3078,-64.7505,286412,281,67814098,>100<=500
Saint Vincent and the Grenadines,S03,12.9843,-61.2872,29,284,110869,>100<=500
Pakistan,P01,30.3753,69.3451,225283,287,219992900,>100<=500
Saint Lucia,S02,13.9094,-60.9789,22,301,183458,>100<=500
El Salvador,E03,13.7942,-88.8965,7507,313,6479609,>100<=500
Vietnam,V02,16,108,355,314,97160127,>100<=500
Grenada,G07,12.1165,-61.679,23,331,112418,>100<=500
Sri Lanka,S19,7,81,2074,341,21395196,>100<=500
Japan,J02,36,138,19461,347,126552765,>100<=500
Philippines,P06,13,122,41830,368,109280343,>100<=500
Belgium,B06,50.8333,4,61838,383,11579477,>100<=500
Israel,I07,31,35,29170,400,8627444,>100<=500
Haiti,H01,18.9712,-72.2852,6294,414,11373955,>100<=500
Burundi,B17,-3.3731,29.9189,191,463,11814346,>100<=500
India,I02,21,78,673165,464,1377233523,>100<=500
Comoros,C10,-11.6455,43.3333,309,467,865696,>100<=500
Netherlands,N03,12.5186,-70.0358,50548,508,17127290,>500<=1000
Rwanda,R03,-1.9403,29.8739,1092,525,12883878,>500<=1000
South Korea,S16,36,128,13091,527,51260395,>500<=1000
San Marino,S04,43.9424,12.4578,698,566,33917,>500<=1000
Mauritius,M08,-20.2,57.5,341,626,1271347,>500<=1000
Lebanon,L03,33.8547,35.8623,1855,667,6831445,>500<=1000
Barbados,B04,13.1939,-59.5432,97,668,287305,>500<=1000
Taiwan,T01,23.7,121,449,673,23808164,>500<=1000
Bangladesh,B03,23.685,90.3563,159679,1265,164354176,>1000<=7000
Malta,M06,35.9375,14.3754,672,1380,441308,>1000<=7000
Maldives,M04,3.2028,73.2207,2435,1802,538558,>1000<=7000
Holy See,H02,41.9029,12.4534,12,2003,801,>1000<=7000
Bahrain,B02,26.0275,50.55,28857,2239,1688629,>1000<=7000
Singapore,S11,1.2833,103.8333,44664,8358,5840996,>7000
Monaco,M11,43.7333,7.4167,106,26337,39186,>7000
