Country,CountryCode,Lat,Long,Count,Density,Population,DensityGroup
Luxembourg,L09,49.815273,6.129583,110,242,623861,>100<=500
Madagascar,M01,-18.766947,46.869107,29,48,27539106,<=100
Malawi,M02,-13.254308,34.301525,17,203,19024426,>100<=500
Malaysia,M03,4.210484,101.975766,121,99,32280610,<=100
Maldives,M04,3.202778,73.22068,10,1802,538558,>1000<=7000
Mali,M05,17.570692,-3.996166,118,17,20125282,<=100
Malta,M06,35.937496,14.375416,9,1380,441308,>1000<=7000
Mauritania,M07,21.00789,-10.940835,129,5,4623535,<=100
Mauritius,M08,-20.348404,57.552152,10,626,1271347,>500<=1000
Mexico,M09,23.634501,-102.552784,30366,66,128655589,<=100
Moldova,M10,47.411631,28.369885,580,123,4035814,>100<=500
Monaco,M11,43.750298,7.412841,4,26337,39186,>7000
Mongolia,M12,46.862496,103.846656,0,2,3267320,<=100
Montenegro,M13,42.708678,19.37439,14,47,628050,<=100
Morocco,M14,31.791702,-7.09262,232,83,36820713,<=100
Mozambique,M15,-18.665695,35.529562,7,40,31067362,<=100
Namibia,N01,-22.95764,18.49041,0,3,2531290,<=100
Nepal,N02,28.394857,84.124008,34,203,29027347,>100<=500
Netherlands,N03,52.132633,5.291266,6132,508,17127290,>500<=1000
New Zealand,N04,-40.900557,174.885971,22,18,4814272,<=100
Nicaragua,N05,12.865416,-85.207229,83,55,6608366,<=100
Niger,N06,17.607789,8.081666,68,19,24014064,<=100
Nigeria,N07,9.081999,8.675277,634,226,205052107,>100<=500
North Macedonia,N08,41.6086,21.7453,334,83,2083391,<=100
Norway,N09,60.472024,8.468946,251,15,5412632,<=100
Oman,O01,21.512583,55.923255,203,16,5078933,<=100
Pakistan,P01,30.375321,69.345116,4619,287,219992900,>100<=500
Panama,P02,8.537981,-80.782127,720,58,4300667,<=100
Papua New Guinea,P03,-6.314993,143.95555,0,20,8911530,<=100
Paraguay,P04,-23.442503,-58.443832,20,18,7114524,<=100
Peru,P05,-9.189967,-75.015152,10412,26,32876986,<=100
Philippines,P06,12.879721,121.774017,1290,368,109280343,>100<=500
Poland,P07,51.919438,19.145136,1512,124,37854825,>100<=500
Portugal,P08,39.399872,-8.224454,1605,111,10202571,>100<=500
Qatar,Q01,25.354826,51.183884,123,248,2870922,>100<=500
Romania,R01,45.943161,24.96676,1731,84,19262731,<=100
Russia,R02,61.52401,105.318756,10011,9,145922010,<=100
Rwanda,R03,-1.940278,29.873888,3,525,12883878,>500<=1000
Saint Kitts and Nevis,S01,17.357822,-62.782998,0,205,53123,>100<=500
Saint Lucia,S02,13.909444,-60.978893,0,301,183458,>100<=500
Saint Vincent and the Grenadines,S03,12.984305,-61.287228,0,284,110869,>100<=500
San Marino,S04,43.94236,12.457777,42,566,33917,>500<=1000
Sao Tome and Principe,S05,0.18636,6.613081,13,228,218308,>100<=500
Saudi Arabia,S06,23.885942,45.079162,1858,16,34701377,<=100
Senegal,S07,14.497401,-14.452362,129,87,16649599,<=100
Serbia,S08,44.016521,21.005859,306,100,8744288,<=100
Seychelles,S09,-4.679574,55.491977,0,214,98224,>100<=500
Sierra Leone,S10,8.460555,-11.779889,62,111,7942879,>100<=500
Singapore,S11,1.352083,103.819836,26,8358,5840996,>7000
Slovakia,S12,48.669026,19.699024,28,114,5459116,>100<=500
Slovenia,S13,46.151241,14.995463,111,103,2078881,>100<=500
Somalia,S14,5.152149,46.199616,92,25,15798020,<=100
South Africa,S15,-30.559482,22.937506,3026,49,59154802,<=100
South Korea,S16,35.907757,127.766922,283,527,51260395,>500<=1000
South Sudan,S17,6.877,31.307,38,18,11166783,<=100
Spain,S18,40.463667,-3.74922,28385,94,46751175,<=100
